diario,seccion,titulo,descripcion,sentimiento,pond_negativos,pond_neutro,pond_positivo
Telam,Politica,"El Presidente compartió el ""malestar"" de Cristina por la publicación sobre la licitación","""Es éticamente reprochable hablar en off en desmedro de otro. Así siempre lo he expresado públicamente. No avalo esos procederes y comparto el malestar expresado por @CFKArgentina"", posteó el Presidente respecto a la publicación fundada en una supuesta información en off.",NEU,0.07910256832838058,0.9094526767730713,0.011444739066064358
Telam,Economia,"Nissan: ""Argentina es un mercado competitivo para la producción y exportación automotriz""",En una entrevista con Télam el presidente de la empresa adelantó que la marca incorporará un segundo turno de trabajadores y duplicará la fabricación de pick ups.,POS,0.0050898948684334755,0.07960310578346252,0.9153069853782654
Telam,Economia,"Energía, fletes, servicios y bienes de capital, claves del récord de importaciones","Según el Indec, el saldo comercial al cierre del primer cuatrimestre fue de US$ 2.830 millones, producto de un aumento de las exportaciones (US$ 27.681 millones en total, +28,5% contra mismo período de 2021) pero aún mayor en las importaciones (US$ 24.852 millones, +41,6% en igual período).",NEU,0.012905482202768326,0.9566251039505005,0.030469371005892754
Telam,Economia,Buscan transversalizar políticas de género y diversidades en cooperativas y mutuales,"El flamante Consejo Asesor de Géneros y Diversidad del Inaes fue creado la semana pasada y tiene como objetivo reconocer, poner en valor y financiar proyectos de cooperativas y mutuales que incorporen perspectiva de género en sus iniciativas.",NEU,0.02422068454325199,0.9057520627975464,0.07002736628055573
Telam,Economia,El precio internacional del trigo perdió 10% en una semana con alta volatilidad,"La posibilidad de que se concrete la creación de un ""corredor seguro"" que posibilite la exportación de granos y subproductos ucranianos se convirtió en el principal ""driver"" bajista. Si bien el que más sintió la volatilidad de precios fue el trigo, también se vieron afectados el maíz, que bajó 6,46%; y la soja, 2%.
",NEG,0.6003196835517883,0.3899257779121399,0.00975458137691021
Telam,Economia,Cuándo se realizará el segundo pago del Refuerzo de Ingresos,"Se trata del bono destinado a 7,5 millones de trabajadores informales, empleados/as de casas particulares, monotributistas sociales y de categorías A y B.",NEU,0.008536458015441895,0.989094078540802,0.0023694264236837626
Telam,Economia,San Martín regresa a la numismática argentina,"La primera aparición de su figura fue en 1866, dieciséis años después de su fallecimiento. De los últimos 156 años, su imagen en los billetes estuvo en 110, superando a Manuel Belgrano, el segundo en cantidad de presencias.",NEU,0.029683485627174377,0.9131291508674622,0.057187363505363464
Telam,Economia,"Sustentabilidad y desarrollo tecnológico, los ejes del debate en la industria vitivinícola","Durante la 4ª edición del Wine Innovation Summit (WIS) desarrollada en Mendoza, productores y comercializadores de la industria vitivinícola analizaron las tendencias que impactan de manera directa e indirecta en la actividad.",NEU,0.01851358823478222,0.8336225748062134,0.14786383509635925
Telam,Economia,"Pablo González: ""Con YPF estamos afrontando los problemas de crecimiento""","El presidente de la compañia realizó un recorrido histórico de YPF y destacó el año 2012 como una ""segunda fundación de YPF"" .",NEU,0.258632630109787,0.621611475944519,0.11975584179162979
Telam,Economia,El Hot Sale facturó $42.000 millones en tres jornadas,"La novena edición del mega evento de ventas online alcanzó una facturación equivalente a más de $585 millones de pesos vendidos por hora, con la participación de más de 3,7 millones de argentinos que navegaron el sitio oficial.",NEU,0.4260876774787903,0.5607783198356628,0.01313402596861124
Telam,Economia,La justicia habilitó el proyecto de exploración offshore del Mar Argentino,"La Cámara Federal de Apelaciones marplatense dejó sin efecto la medida cautelar que suspendía las operaciones, la cual había sido oportunamente apelada por el Gobierno nacional, y ordena realizar una ""nueva Declaración de Impacto Ambiental"".",NEU,0.03214907646179199,0.9426248669624329,0.025226091966032982
Telam,Economia,Lanzan la licitación para la construcción del gasoducto Presidente Néstor Kirchner,El pliego estará disponible desde este sábado y tendrá plazo para la presentación de ofertas hasta el 8 de julio. Esta obra estratégica ampliará en un 25% la capacidad del sistema de transporte de gas natural.,NEU,0.03317386284470558,0.8189776539802551,0.1478484719991684
Telam,Economia,"En el AMBA, el boleto mínimo de colectivo pasará a costar $25,20","Así lo anticipó el secretario de Transporte de la Nación, Diego Giuliano, quien indicó que la medida se formalizará ""en 20 ó 30 días"". Dentro del plan de incremento tarifario también estarán incluidos los trenes.",NEU,0.021564990282058716,0.9725661873817444,0.0058688633143901825
Telam,Economia,"Producen por primera vez frutillas con Hidroponia, un nuevo sistema de cultivo","""El sistema consiste en darles nutrición a través del agua y no de nutrientes del suelo, lo que favorece a la buena nutrición y garantiza la calidad del producto final "", dijo Federico Mouso, Ingeniero y Líder del Proyecto ADBlick.
",NEU,0.005844976287335157,0.8897790312767029,0.10437602549791336
Telam,Economia,"Récord de exportación de trigo en los últimos 6 meses, con 12,7 millones de toneladas ","En el primer semestre de la campaña 2021/22 fueron récord tanto en volumen como en valor. Los  países africanos fueron el  principal destino, indicó la Bolsa de Comercio de Rosario.",NEU,0.06740724295377731,0.8666718602180481,0.06592084467411041
Telam,Economia,La producción de autos creció un 32% interanual en mayo,"El informe de la Asociación de Fábricas de Automotores señala además que represengta una suba del 5,9 % más respecto de abril.",NEU,0.11823039501905441,0.8130280375480652,0.0687415599822998
Telam,Economia,"""Nuestro compromiso es acompañar la recuperación económica y productiva de Buenos Aires""","El subsecretario de Energía Eléctrica aseguró que ya está en marcha una mesa de trabajo entre Nación y la subsecretaría de Energía de la provincia, para ""acompañar la expansión industrial y el empleo que viene desplegando ya desde hace más de dos años el Gobierno nacional&amp;rdquo;.",POS,0.00565660186111927,0.1047494113445282,0.8895940184593201
Telam,Economia,Vaca Muerta podría sustituir las importaciones globales de energía rusa,"El nuevo escenario de la guerra en Ucrania convirtió a la Argentina en un posible competidor de Australia y Qatar en el mercado internacional del Gas Natural Licuado, según destaca la prensa británica. Destacan las recientes declaraciones de Alberto Fernández en Europa, cuando dijo que el país es &amp;ldquo;un reservorio de lo que el mundo necesita en este momento: alimentos y energía"".",NEU,0.02424837276339531,0.9512971639633179,0.02445448935031891
Telam,Economia,"Salvarezza: ""La energía es crucial para crecer y estamos comprometidos con el desarrollo""","El presidente de Y-TEC, compañía creada en 2013, durante la presidencia de Cristina Fernández de Kirchner, considera que la empresa ""es la interfase de dos mundos: el de la producción de energía, que es YPF, y el del conocimiento, la ciencia y la tecnología, que es el Conicet"".",POS,0.0036404593847692013,0.1517355740070343,0.8446239829063416
Telam,Economia,"Los pioneros, Mosconi y los primeros pasos de la petrolera de bandera","El 3 de junio de 1922 nació Yacimientos Petrolíferos Fiscales. Pero la historia comenzó a escribirse tiempo antes. La apuesta de Hipólito Yrigoyen por la soberanía. Enrique Mosconi y su visión del desarrollo. &amp;ldquo;Para él -afirma el historiador Norberto Galasso-, el petróleo no solo debía ser nacionalizado sino también estatizado&amp;rdquo;.",POS,0.006504464894533157,0.19518820941448212,0.7983072400093079
Telam,Economia,Cafiero lanzó la candidatura de Bariloche para organizar una feria internacional en 2027,"El canciller realizó el anuncio en el Palacio San Martín junto a la gobernadora de la provincia de Río Negro, Arabela Carreras, y el intendente de Bariloche (vía Zoom), Gustavo Gennuso, con la participación del ministro de Turismo y Deportes, Matías Lammens.",NEU,0.012784783728420734,0.9540659785270691,0.03314926102757454
Telam,ultimas_noticias,Zelenski visitó a las tropas ucranianas en el Donbass,"Visitó puestos de mando y posiciones en el frente en Lisichansk, ciudad separada por el río Donets de Severodonetsk, donde los ucranianos están repeliendo el avance de los rusos, que estaban a punto de tomar la localidad.",NEU,0.041968341916799545,0.913550078868866,0.04448157921433449
Telam,ultimas_noticias,Renta Inesperada: el proyecto que presenta hoy el Gobierno,El Presidente dará a conocer los detalles de la iniciativa que está dirigida para quienes se vieron beneficiados a partir del aumento de los precios internacionales a causa del conflicto bélico entre Rusia y Ucrania.,NEU,0.018354173749685287,0.9649379253387451,0.016707878559827805
Telam,ultimas_noticias,El Parlasur vuelve a sesionar con la expulsión de Rodríguez Simón en la agenda,"Para tratar la situación del exasesor del Gobierno de Cambiemos, sobre quien pesa un pedido de captura internacional en el marco de una causa en la que se lo investiga por la extorsión a los dueños del Grupo Indalo, se necesita un número especial de representantes presentes, algo que no está asegurado.
",NEU,0.06098245456814766,0.9324407577514648,0.006576871033757925
Telam,ultimas_noticias,Demoras en la autopista Buenos Aires-La Plata por una protesta de choferes de micros,El corte parcial se produce en el kilómetro 7 de la autopista y genera retrasos de más de 3 kilómetros. Reclaman a las autoridades que los autoricen a trabajar ya que por la antigüedad de las unidades no pueden circular para transportar pasajeros.,NEG,0.7338879108428955,0.2580784857273102,0.008033613674342632
Telam,ultimas_noticias,Neblinas matinales y una máxima de 17 grados en el inicio de la semana en el  AMBA,"Para este martes se prevé una jornada con neblinas matinales y cielo parcialmente nublado, y una temperatura de entre 7 y 17 grados.",NEU,0.1114421859383583,0.874853253364563,0.013704654760658741
Telam,ultimas_noticias,"River, sin los seleccionados Armani y Álvarez, igualó con Defensa y Justicia","El Millonario empató como visitante sin goles con el Halcón, en el estadio Norberto ""Tito"" Tomaghello de la ciudad bonaerense de Florencio Varela, con arbitraje de Facundo Tello.",NEU,0.17799201607704163,0.795508086681366,0.026499921455979347
Telam,ultimas_noticias,Boca fue contundente en el inicio y derrotó a Arsenal en La Bombonera ,"El Xenieze venció como local 2 a 1 al conjunto de Sarandí, con goles de Agustín Sandez (15m PT) y Sebastián Villa (17m PT). Mientras que Mauro Pittón (28m PT) descontó para el visitante. ",POS,0.011060638353228569,0.19874325394630432,0.7901961207389832
Telam,ultimas_noticias,"""Astor estimula siempre la búsqueda libre"", asegura el coreógrafo Leonardo Cuello","&amp;ldquo;Astor, nosotros&amp;rdquo; es el nombre de la obra que combina danza moderna y tango, que se estrenará el próximo jueves 9, en el Centro Cultural de la Cooperación, para homenajear al músico argentino en el centenario de su nacimiento, celebrado en 2021.",NEU,0.00467160576954484,0.966590940952301,0.0287373885512352
Telam,ultimas_noticias,EEUU y Corea del Sur dispararon misiles en respuesta a lanzamientos de Corea del Norte,"Se lanzaron ocho misiles, la misma cantidad que Norcorea disparó este domingo, según fuentes del Estado Mayor Conjunto surcoreano.",NEU,0.0869893729686737,0.8920324444770813,0.020978182554244995
Telam,ultimas_noticias,"""Spinettango"", el disco que explora el lado tanguero del Flaco","Se trata de un trabajo integrado por versiones en clave tanguera de canciones de Spinetta y pensado como tributo al cumplirse 10 años de su fallecimiento, contó a Télam el productor Hernán ""Don Camel"" Sforzini, quien junto a Damián Torres Quinteto y Santiago Muñiz formaron Los Altiyeros.",NEU,0.004273242317140102,0.877116858959198,0.11860983818769455
Telam,ultimas_noticias,Se suspendió la celebración del título de Boca por el fallecimiento de un socio,Los festejos previstos por la reciente obtención de la Copa de la Liga quedaron suspendidos por el fallecimiento de un socio vitalicio en la platea L durante el partido ante Arsenal.,NEU,0.24931253492832184,0.7401276230812073,0.010559814982116222
Telam,ultimas_noticias,"""Nuestra principal responsabilidad es evitar retorno de la restauración conservadora""","Durante un acto que encabezó en Rosario, el director nacional de Estrategias Inclusivas del Transporte del Ministerio de Transporte dijo que ""a los socialistas no nos asustan las disputas ni las diferencias internas, pero no nos vamos a prestar a un juego que debilita al gobierno y alimenta al enemigo"".",NEU,0.04703059792518616,0.9266623258590698,0.02630709856748581
Telam,ultimas_noticias,"Mujeres al borde de una pileta, Microteatro, una de Gambaro y más ofertas en la cartelera","Se trata de cinco propuestas teatrales que forman parte de la oferta porteña: &amp;ldquo;Cómo piensan el tiempo las tortugas (Hermanas)&amp;rdquo;, &amp;ldquo;Break Point&amp;rdquo;, &amp;ldquo;La señora Macbeth&amp;rdquo;, &amp;ldquo;El intermediario&amp;rdquo; y ""Luz testigo"".",NEU,0.002769782906398177,0.7988177537918091,0.1984124630689621
Telam,ultimas_noticias,Lula está con Covid-19 y suspende todas las actividades de campaña,"Esta es la segunda vez que Lula se contagia Coronavirus luego de haber dado positivo a fines de 2020 cuando hizo un viaje a Cuba.
",NEU,0.0935373529791832,0.8908345103263855,0.015628205612301826
Telam,ultimas_noticias,Rusia amenazó ir por nuevos objetivos mientras continuaban los combates en el Donbass,"Luego de que se anunciase la decisión estadounidense de entregar a sus lanzacohetes múltiples Himars (High Mobility Artillery Rocket System), el presidente ruso dijo que utilizarán sus armas ""para atacar objetivos que no atacaron hasta el momento"".",NEU,0.0767647996544838,0.9017770886421204,0.02145809307694435
Telam,ultimas_noticias,"La ""Scaloneta"" estiró a 33 su invicto y sigue haciendo historia","La última derrota de Argentina ocurrió el 2 de julio de 2019 frente a Brasil (0-2) en el estadio Mineirao de Belo Horizonte, por las semifinales de la Copa América.
",POS,0.0030761845409870148,0.08246053755283356,0.9144633412361145
Telam,ultimas_noticias,Detuvieron a un joven por robar un carpincho en una reserva natural ,"El robo del animal había sido denunciado el 22 de mayo y tras un allanamiento en el barrio San Martín de la localidad balnearia, el ejemplar fue devuelto a su hábitat natural.
",NEU,0.30386224389076233,0.6533995270729065,0.042738232761621475
Telam,ultimas_noticias,Gales venció a Ucrania y volverá a jugar un Mundial después de 64 años,El seleccionado liderado por Gareth Bale participará en el grupo B y su debut será el 21 de noviembre contra los Estados Unidos.,NEU,0.03295633941888809,0.5149797201156616,0.4520638883113861
Telam,ultimas_noticias,"Portugal, dos tantos de Cristiano Ronaldo, goleó a Suiza y es puntero del grupo 2","Con este resultado, el equipo luso alcanzó en la cima de la zona a República Checa (que empató 2 a 2 con España) con 4 puntos, mientras que el conjunto helvético es último sin unidades y está en zona de descenso.
",POS,0.005238474812358618,0.09823109954595566,0.8965303897857666
Telam,ultimas_noticias,Estudiantes empató con Gimnasia en una nueva edición del clásico platense,"El Pincha igualó como local 1 a 1 con el Lobo, con tantos de Agustín Rogel (40m PT) y de Cristian Tarragona (7m ST), en un partido que se jugó en el Estadio UNO y que fue el primero con público en el nuevo escenario ""albirrojo"".",NEU,0.030216431245207787,0.7801657915115356,0.18961775302886963
Clarin,Politica,Más problemas para Mayra Mendoza: la oposición cuestionó el presupuesto 2021 por irregularidades,Aparecen más de 20 cooperativas contratadas con situaciones similares a las que investiga la Justicia y denuncian que no cierran los números de gastos. ,NEG,0.8290677666664124,0.1678047776222229,0.0031274694483727217
Clarin,Politica,El Gobierno prorrogó la intervención de la AFI y oficializó la designación de Agustín Rossi,La medida se extendió por 120 días. El exministro de Defensa ocupará el lugar de Cristina Caamaño.,NEU,0.02159085124731064,0.945454478263855,0.03295475244522095
Clarin,Politica,Quién es el funcionario militante de Mayra Mendoza que pintó a Jorge Lanata con caca en la cabeza,"Ocupa la dirección de Muralismo y Arte Público Urbano en el municipio que conduce la espada de La Cámpora, arrinconada por las denuncias.",NEG,0.9013833403587341,0.09649769216775894,0.0021189742255955935
Clarin,Politica,"Jorge Lanata, al hueso: ""Alberto Fernández se sigue creyendo Litto Nebbia y Cristina Kirchner, Evita""","En su monólogo, el conductor de PPT puso la lupa sobre Gabriela Cerruti, portavoz de Presidencia. Se indignó por la crisis de la educación.",NEU,0.45634666085243225,0.5271973013877869,0.01645597442984581
Clarin,Politica,"Para Miguel Ángel Pichetto, en el Gobierno ""lo prueban"" a Daniel Scioli para una candidatura","Consideró que había figuras ""con más preparación"" para ocupar el Ministerio de Desarrollo Productivo. Evaluó que Alberto Fernández debió ""entregar una pieza"" para acercarse a Cristina Kirchner.",NEU,0.17254479229450226,0.8201085925102234,0.0073465690948069096
Clarin,Politica,Alberto Fernández prepara el viaje a la Cumbre de las Américas en medio de un nuevo tembladeral político,"Viaja a Los Angeles este martes a la noche tras echar al ministro Kulfas, que era parte de la comitiva. ",NEU,0.10477562248706818,0.8787211775779724,0.01650320366024971
Clarin,Politica,Daniel Scioli demora su asunción en Producción y juraría recién la semana que viene,El embajador todavía debe ordenar su gestión en Brasil. Rechazan que esté a la espera de un guiño de Cristina para asumir.,NEU,0.11046834290027618,0.8830664753913879,0.006465138867497444
Clarin,Politica,Diputados: buscan votar esta semana la actualización de los montos del Monotributo,"El proyecto impulsado por Sergio Massa tendrá dictamen este martes en comisión y el oficialismo pedirá una sesión especial para votarlo el jueves, un día después del debate por la Boleta Unica.",NEU,0.028943195939064026,0.955100953578949,0.01595577597618103
Clarin,Politica,"Con un Gobierno en shock, Martín Guzmán apura un impuesto que quiere Cristina","El Presidente respaldará al ministro de Economía en el anuncio de este lunes, en medio de las tensiones en el Gabinete.",NEG,0.6468122005462646,0.33947309851646423,0.013714687898755074
Clarin,Politica,Efecto Scioli: se reedita la pelea con Mauricio Macri y hay malas noticias para Sergio Massa,La llegada del ex gobernador al Gabinete impacta en los planes de oficialismo y oposición para 2023.,NEG,0.8953984975814819,0.10206753015518188,0.002534004859626293
Clarin,Economia,Euro hoy: a cuánto cotiza este lunes 06 de junio,Mirá la cotización minuto a minuto para la compra y venta del euro oficial y del euro blue.,NEU,0.056012049317359924,0.9328862428665161,0.0111017981544137
Clarin,Economia,Dólar blue hoy: a cuánto cotiza este lunes 06 de junio,Mirá la cotización minuto a minuto para la compra y venta del dólar blue hoy.,NEU,0.03497377410531044,0.9504014253616333,0.014624814502894878
Clarin,Economia,"El mercado, ante el cambio de Gabinete: complica el panorama de la deuda",Los inversores miran con cautela las consecuencias de la interna dentro de la coalición Gobernante. ¿Qué puede pasar con el dólar?,NEG,0.6790562272071838,0.3143552839756012,0.006588432937860489
Clarin,Economia,"Empresarios, conformes con Scioli pero aseguran que el cambio de nombres no soluciona los problemas","La llegada del ex Gobernador al Ministerio de Producción fue un alivio para la industria, aunque advirtieron que la debilidad del Gobierno complica las expectativas.",NEG,0.9353840947151184,0.061878789216279984,0.0027371011674404144
Clarin,Economia,"El pago en pesos, la nueva discusión entre Techint y el Gobierno por los tubos","Al no existir un tren de laminación especial en el país, tienen que traer la chapa para los tubos desde Brasil.",NEU,0.06755667924880981,0.92698734998703,0.005455953534692526
Clarin,Economia,"La empresa mencionada como opción a Techint en el off de Matías Kulfas aclaró que ""no produce chapa con calidad apta para gasoductos"" como el Néstor Kirchner",Laminados Industriales SA se desentendió de la trama que terminó con la eyección del ministro de Desarrollo Productivo a pedido de Cristina Kirchner.,NEG,0.7893716096878052,0.20466017723083496,0.00596825685352087
Clarin,Economia,Hipotecarios UVA: el Gobierno acotó el problema a menos del 1% de los 120.000 créditos otorgados,"El jefe de Gabinete, Juan Manzur, dijo en el senado que se presentaron 1.471 solicitudes de reconsideración, pero 1.030 fueron rechazadas.",NEU,0.4753798544406891,0.517118513584137,0.007501639425754547
Clarin,Economia,"AEA celebra 20 años: Rocca, Pagani, Coto en una jornada que abre el Presidente y cierra Guzmán","La Asociación Empresaria Argentina organizó un debate que lleva como título ""el sector privado es el factor clave para el desarrollo"". En los paneles estarán varios de los principales empresarios del país.Dólar blue hoy: a cuánto cotiza este domingo 05 de junio",NEU,0.005152849480509758,0.9696624279022217,0.025184713304042816
Clarin,Economia,Euro hoy: a cuánto cotiza este domingo 05 de junio,Mirá la cotización minuto a minuto para la compra y venta del euro oficial y del euro blue.Dólar blue hoy: a cuánto cotiza este domingo 05 de junio,NEU,0.058490872383117676,0.9301331639289856,0.01137588545680046
Clarin,Economia,Dólar blue hoy: a cuánto cotiza este domingo 05 de junio,Mirá la cotización minuto a minuto para la compra y venta del dólar blue hoy.,NEU,0.03367196395993233,0.9513087272644043,0.015019354410469532
Clarin,ultimas_noticias,WhatsApp: alerta por una estafa que permite robar una cuenta a través de una llamada,Hackers descubrieron una nueva forma de engañar a los usuarios del mensajero para pedirles dinero a sus contactos.,NEG,0.8561519980430603,0.14025384187698364,0.003594153793528676
Clarin,ultimas_noticias,"Argentina, un país que se anticipó al metaverso","En el contexto actual, la sugerencia firme es aprovechar los precios disponibles y pesificar lo más largo posible.",NEU,0.3136877417564392,0.66597980260849,0.020332399755716324
Clarin,ultimas_noticias,La niebla invadió la Ciudad de Buenos Aires y el conurbano y hay alerta amarilla para cuatro provincias,La semana arrancó en CABA y alrededores con mínimas de 7 grados y se espera 17 de máxima.,NEU,0.3165660798549652,0.6670219898223877,0.016411922872066498
Clarin,ultimas_noticias,Ranking ATP: Rafael Nadal es otra vez el 4 del mundo y se avecina un cataclismo estadístico en el top 3,"El español, luego de sumar su 14° trofeo en Roland Garros y su 22° Grand Slam, desplazó a Tsitsipas. Djokovic sigue siendo el líder, pero se vienen cambios por culpa del Wimbledon sin puntos. ",NEU,0.09493881464004517,0.8314853310585022,0.07357589155435562
Clarin,ultimas_noticias,"Guerra Rusia-Ucrania, en vivo: la sorpresiva visita de Zelenski al Donbas, donde se recrudecen los bombardeos de las tropas rusas","El presidente ucraniano visitó a sus tropas en la línea del frente este, la zona con combates más intensos y objetivo prioritario de la invasión rusa.",NEU,0.28085386753082275,0.6977973580360413,0.02134873904287815
Clarin,ultimas_noticias,Corte en la autopista Buenos Aires-La Plata: fuertes demoras por una protesta de choferes de micros,Reclaman flexibilizaciones en los requisitos para renovar las licencias. Aseguran que el diálogo con el Gobierno está cortado.,NEG,0.6337236762046814,0.3548370599746704,0.011439293622970581
Clarin,ultimas_noticias,Cómo ser invisible: ¿por qué Banksy es un artista anónimo?,"Mientras se suceden los malentendidos en relación a su verdadera identidad, el celebrado grafitero concreta una acción política: denuncia las injusticias del sistema y mantiene su anonimato como imagen de marca.",NEU,0.011524203233420849,0.9696979522705078,0.018777796998620033
Clarin,ultimas_noticias,Euro hoy: a cuánto cotiza este lunes 06 de junio,Mirá la cotización minuto a minuto para la compra y venta del euro oficial y del euro blue.,NEU,0.056012049317359924,0.9328862428665161,0.0111017981544137
